d,eta,N_needed
-96932,0.6685595005199999,4
-96931,0.295651815659,3
-96927,0.613795290137,4
-96923,0.253310563387,3
-96920,0.39414198516,3
-96919,0.5610827261289999,3
-96916,0.37390655369,3
-96915,0.325718703087,3
-96911,0.6103513695789999,4
-96907,0.144309206445,3
-96904,0.422980562427,3
-96899,0.691359539932,4
-96895,0.464596580279,3
-96891,0.340940299419,3
-96888,0.122326173861,3
-96887,0.6413588733429999,4
-96884,0.5014502495769999,3
-96883,0.34182228424100003,3
-96879,0.614528653168,4
-96872,0.5061458478109999,4
-96871,0.242171063318,3
-96868,0.262063572783,3
-96863,0.538267453153,3
-96859,0.489055962754,4
-96856,0.351037594094,3
-96855,0.5770533911589999,4
-96852,0.212625654862,3
-96851,0.764225529105,4
-96847,0.260570784492,3
-96843,0.363917940957,3
-96839,0.558090518737,4
-96836,0.636442845278,4
-96835,0.282249306132,3
-96827,0.443874563823,3
-96823,0.440828834915,3
-96820,0.320183838412,3
-96819,0.507155339001,4
-96811,0.241467365718,3
-96808,0.347780861648,3
-96803,0.475948392274,3
-96799,0.8500687816189999,4
-96792,0.238829893938,3
-96791,0.535699158418,4
-96788,0.5434322718529999,4
-96787,0.198884457702,3
-96783,0.330501521486,3
-96779,0.345276362999,3
-96776,0.277400877786,3
-96772,0.079518074786,3
-96771,0.5056504588609999,4
-96767,0.41403732844,3
-96763,0.23803646682000001,3
-96760,0.420943847169,3
-96756,0.47593518036,3
-96755,0.465660372625,3
-96751,0.481516053878,3
-96747,0.20193437585000001,3
-96744,0.585341013451,4
-96743,0.762085398802,4
-96740,0.232787804625,3
-96739,0.46853893461,4
-96735,0.328950417168,3
-96731,0.6602572129759999,4
-96728,0.229937681681,3
-96727,0.221316738982,3
-96724,0.467802998936,3
-96719,0.86674066281,5
-96712,0.267016230935,3
-96711,0.8378358144829999,4
-96708,0.358288858295,3
-96707,0.182575167575,3
-96703,0.53219001249,3
-96699,0.314369602341,3
-96695,0.36110128102,3
-96692,0.637712921191,4
-96691,0.26704468016,3
-96683,0.24848708792,3
-96680,0.656188323818,4
-96676,0.5070357566779999,4
